50,15,86,0,3,1,1
28,12,95,193,8,19,57,89,90,88,144,18,26,97,93,20,52,45,85,110,9,39,58,22,20,44,11,4,59,81,1,12,8,177,60,7,122,18,47,121,116,22,104,175,8,82,44,46,50,64
1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,5,5,6,6,6,6,6,7,7,8,8,8,8,8,8,9,9,9,9,10,10,12,13,13,14,15,15,15
0,0,0
1,3,5
Phi:
1,2
1,3
2,3
1,4
2,4
3,4
5,6
5,7
6,7
5,8
6,8
7,8
5,9
6,9
7,9
8,9
5,10
6,10
7,10
8,10
9,10
11,12
11,13
12,13
11,14
12,14
13,14
11,15
12,15
13,15
14,15
16,17
16,18
17,18
16,19
17,19
18,19
16,20
17,20
18,20
19,20
16,21
17,21
18,21
19,21
20,21
22,23
22,24
23,24
25,26
25,27
26,27
25,28
26,28
27,28
25,29
26,29
27,29
28,29
30,31
32,33
32,34
33,34
32,35
33,35
34,35
32,36
33,36
34,36
35,36
32,37
33,37
34,37
35,37
36,37
38,39
38,40
39,40
38,41
39,41
40,41
42,43
45,46
48,49
48,50
49,50
Psi:
end.
