40,10,89,0,2,1,1
30,4,15,29,9,59,47,30,30,1,86,3,28,33,2,20,4,3,8,17,23,21,2,7,19,40,39,37,15,8,58,33,77,15,3,51,6,16,64,8
1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,5,5,6,6,6,6,6,7,7,7,7,8,9,9,9,10
0,0
1,3
Phi:
1,2
1,3
2,3
1,4
2,4
3,4
1,5
2,5
3,5
4,5
1,6
2,6
3,6
4,6
5,6
7,8
7,9
8,9
7,10
8,10
9,10
7,11
8,11
9,11
10,11
7,12
8,12
9,12
10,12
11,12
13,14
13,15
14,15
13,16
14,16
15,16
13,17
14,17
15,17
16,17
13,18
14,18
15,18
16,18
17,18
13,19
14,19
15,19
16,19
17,19
18,19
13,20
14,20
15,20
16,20
17,20
18,20
19,20
13,21
14,21
15,21
16,21
17,21
18,21
19,21
20,21
22,23
22,24
23,24
25,26
27,28
27,29
28,29
27,30
28,30
29,30
27,31
28,31
29,31
30,31
32,33
32,34
33,34
32,35
33,35
34,35
37,38
37,39
38,39
Psi:
end.
